"Goosein begins to develop abnormally. These cells form a lump or tumor, which may be felt as a hard lump in the breast.","When breast cancer is diagnosed early, the chances of recovery are much better.",Breastfeeding reduces the risk of developing breast cancer,Physical activity reduces the risk of developing breast cancer.,"In some women, being overweight increases the risk of developing breast cancer.",A woman who gives birth to her first child before the age of 30 is less likely to develop breast cancer.,Women who have no known risk factors for breast cancer rarely get breast cancer,What do you think are the symptoms associated with a breast cancer tumor? (Select all related to it),Most breast lumps are no-cancerous,Is mammography the only way to detect breast cancer?,A severe blow to the breast can lead to breast cancer later in life,"Constant irritation due to a bra that is too tight can, over time, cause breast cancer",Have you heard of breast self-examination (AES)?,"If so, do you practice breast self-examination","If so, how often do you self-examine the breasts",Self-examination begins with observing the breasts in the mirror and looking for possible changes.,"Self-palpation of the breasts can be performed by moving the fingers in small circles around the breast, starting with the nipple and gradually moving outwards","Self-examination also includes examining your armpits, collarbone, sternum and the underside of your breasts for possible lumps.",Self-examination begins with gentle pressure applied to each part of the breast up to moderate to high pressure.,"Self-examination can be performed in the shower, lying down or even sitting or standing.",Was the questionnaire long?,Were the questions easy to understand?,Did you need help understanding the questions?,Did you need help completing the questionnaire?,Will completing this questionnaire encourage you to pay more attention to the health of your breasts in the future?,The app was easy to use,"The information in the app was well organized, so I could easily find the information I needed.",I feel comfortable having this app on my phone,The steps to do the self-examination are clear in this application,Recording symptoms with this app is easy,The time it takes to do the self-check and record symptoms with this app is fine with me.,"In the symptom registration screen where you select the observed symptoms, would you want the ""noe"" and ""Do not wish to respond"" options at the top or bottom.",It helps to be able to see my recorded symptoms over time in a graph,I feel comfortable recording the symptoms of breast self-examination in BreMo,The right time to do the self-examination is well explained,"I like the additional information on this app about breast cancers, risk factors, prevention, and symptoms",I like to be able to delete all the data stored on this app very easily,This app presents an acceptable way to provide information about breast cancer.,The app was intrusive/made me feel unsafe,I would use this app again,The app has all the features I expected.,This app will be useful to help me take care of my breast health.,I enjoyed training with the app.,"Overall, I am satisfied with this app",I would recommend this app to my friends and family.,Was the questionnaire long?,Were the questions easy to understand,Did you need help understanding the questions?,Did you need help completing the questionnaire?,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",no,no,no,no,yes,yes,every month,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,7,7,5,7,7,high,7,7,6,6,7,6,1,5,3,5,5,4,4,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,no,no,yes,yes,every month,yes,yes,yes,yes,yes,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,7,7,7,7,1,7,6,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size u breast",no,no,no,no,yes,yes,once in every 6 months,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,6,7,5,7,7,high,7,7,3,6,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",yes,no,I don't know,I don't know.,yes,yes,every month,yes,no,yes,yes,yes,no,yes,no,no,yes,6,6,6,5,7,7,high,7,7,4,7,7,7,1,5,6,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,yes,no,no,yes,no,never,yes,no,I don't know,I don't know,no,no,no,no,no,no,7,5,7,7,6,7,high,7,7,3,6,7,7,1,6,5,6,6,6,6,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,I don't know,no,"A painless lump in the breast, Small motile masses, Change in breast size",I don't know,no,I don't know,yes,yes,no,never,yes,yes,yes,I don't know,yes,no,yes,no,no,yes,7,6,7,7,6,7,low,7,7,7,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,I don't know,yes,I don't know,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",I don't know,no,I don't know,I don't know.,yes,yes,once in every 6 months,yes,yes,I don't know,yes,yes,no,yes,no,no,yes,6,5,5,7,7,6,high,7,5,7,7,7,7,2,4,6,4,5,5,5,no,no,no,no,,,,,,,
yes,yes,no,yes,yes,I don't know,yes,"Breast discharge, Change in breast size",I don't know,no,no,no,yes,no,never,yes,yes,no,no,yes,no,yes,no,no,no,5,7,7,7,7,7,high,7,7,1,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,no,yes,yes,no,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,I don't know,no,yes,yes,every month,yes,yes,yes,yes,yes,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,4,4,7,4,1,7,5,4,4,4,4,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,I don't know,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",yes,yes,no,no,yes,yes,once in every 6 months,yes,yes,yes,no,no,no,yes,no,no,yes,6,6,6,7,5,7,At each symptom level,7,7,5,7,7,6,1,7,5,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",I don't know,no,I don't know,yes,yes,yes,once in every 6 months,yes,yes,yes,yes,yes,no,yes,no,no,yes,7,5,7,7,5,7,high,4,7,5,7,7,7,2,3,7,7,7,4,4,no,yes,no,no,,,,,,,
yes,yes,no,I don't know,I don't know,I don't know,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,I don't know,I don't know.,yes,yes,once in a year,yes,yes,yes,yes,yes,no,yes,no,no,yes,5,4,4,7,4,7,high,7,7,7,4,4,7,1,4,4,7,7,7,4,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",no,no,no,no,yes,yes,every month,yes,no,yes,yes,yes,no,yes,no,no,yes,6,6,6,6,6,6,noe at each item maybe? to make sure you have watched everything,6,6,6,6,6,6,1,4,5,5,6,6,5,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,yes,no,no,yes,no,never,yes,yes,yes,I don't know,yes,no,yes,no,no,yes,6,4,7,7,4,6,high,7,7,5,5,5,6,1,7,6,7,7,5,6,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,I don't know,yes,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",no,no,no,no,yes,yes,every month,yes,yes,yes,yes,yes,no,yes,no,no,yes,7,7,7,7,7,7,low,7,6,5,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,I don't know,"A painless lump in the breast, Small motile masses, Discharge from the breast",no,yes,no,no,no,no,never,yes,no,no,no,yes,no,yes,no,no,yes,5,6,7,7,7,7,low,7,7,1,7,7,7,1,7,7,7,7,7,7,yes,yes,no,no,,,,,,,
yes,yes,no,yes,yes,I don't know,no,"A painless lump in the breast, Small motile masses, Change in breast size",yes,no,no,I don't know.,yes,no,never,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,5,7,5,5,7,high,7,7,6,7,7,7,1,7,6,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,I don't know,no,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,no,no,I don't know.,yes,yes,once in a year,yes,yes,yes,no,no,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,7,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,yes,"A painless lump in the breast, Change in breast size",yes,no,no,no,yes,no,never,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,7,7,6,7,7,high,4,6,7,7,7,7,1,4,7,4,6,6,4,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,yes,no,no,yes,no,once in a year,yes,yes,yes,no,no,yes,yes,no,no,yes,6,3,7,7,7,7,Drop-down menu or to expand for each section? To avoid a too big section before arriving at the end??,7,7,7,7,5,7,1,5,5,6,7,6,6,yes,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,yes,"A painless lump in the breast, Discharge from the breast",I don't know,no,no,no,yes,yes,once in a year,yes,no,yes,yes,yes,no,no,no,no,yes,7,7,7,5,7,7,low,7,7,7,7,7,7,1,7,7,7,7,7,7,no,no,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,yes,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,no,no,yes,yes,every month,yes,yes,yes,yes,yes,no,yes,no,no,yes,5,6,6,6,6,6,low,6,6,6,6,6,6,1,6,6,6,6,6,6,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,yes,"A painless lump in the breast, Discharge from the breast, Change in breast size",no,no,no,no,yes,yes,every month,yes,yes,yes,no,yes,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,1,4,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,no,no,yes,yes,no,never,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,5,7,7,7,7,low,7,7,7,7,7,7,1,6,7,6,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,no,no,yes,yes,once in every 6 months,yes,no,yes,yes,yes,no,yes,no,no,yes,6,6,6,6,6,6,low,6,6,4,6,6,6,1,6,6,5,5,6,6,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Small motile masses, Discharge from the breast",yes,no,no,no,yes,yes,every month,yes,yes,I don't know,yes,yes,no,yes,no,no,yes,7,7,7,7,4,7,high,7,7,7,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,I don't know,I don't know,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,I don't know,no,yes,no,once in a year,yes,no,yes,yes,yes,no,yes,no,no,yes,7,6,6,5,5,6,low,6,6,5,6,6,6,5,4,6,7,5,6,6,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,yes,no,no,yes,yes,once in every 6 months,yes,yes,yes,I don't know,yes,no,yes,no,no,yes,7,7,6,7,7,7,high,7,7,5,7,3,7,1,6,6,6,6,6,6,no,yes,no,no,,,,,,,
yes,yes,no,yes,yes,yes,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",yes,no,no,no,yes,no,never,yes,yes,no,yes,yes,no,yes,no,no,yes,6,6,6,7,7,7,low,7,7,4,6,7,7,1,5,5,6,6,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",yes,yes,I don't know,no,yes,no,never,yes,yes,yes,no,no,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,7,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,I don't know,yes,yes,no,"A painless lump in the breast, Small motile masses, Change in breast size",yes,yes,I don't know,no,yes,yes,every month,yes,yes,yes,no,no,no,yes,no,no,yes,7,6,6,6,6,6,low,6,6,6,7,6,6,1,7,6,7,6,6,5,no,yes,no,no,,,,,,,
yes,yes,I don't know,I don't know,I don't know,I don't know,I don't know,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,I don't know,no,yes,yes,once in every 6 months,yes,I don't know,yes,yes,I don't know,no,yes,no,no,yes,7,7,7,7,7,7,"Both, or at the top with a button to return immediately to the top of the page / to the bottom of the page without scrolling",7,7,6,7,7,7,1,6,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,no,no,I don't know,no,no,"A painless lump in the breast, Discharge from the breast",yes,no,no,no,yes,no,never,yes,yes,no,I don't know,yes,no,yes,no,no,yes,7,6,1,6,6,6,low,7,6,6,6,7,7,1,7,5,7,6,6,3,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,yes,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,no,no,yes,no,never,yes,I don't know,yes,I don't know,no,no,yes,no,no,yes,6,6,6,5,6,6,low,6,6,6,6,4,6,1,7,5,7,7,6,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,I don't know,I don't know,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,no,I don't know,I don't know.,yes,yes,once in every 6 months,yes,I don't know,yes,yes,no,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,4,5,5,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,I don't know,I don't know,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",I don't know,no,no,no,yes,no,never,yes,yes,I don't know,I don't know,I don't know,no,yes,no,no,yes,6,6,7,7,7,7,high,7,7,7,6,7,7,1,6,6,7,7,6,6,no,yes,no,no,,,,,,,
yes,yes,no,yes,yes,no,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,no,no,yes,no,once in a year,yes,yes,yes,no,yes,no,yes,no,no,no,7,7,7,7,7,7,low,7,7,7,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,I don't know,I don't know,"A painless lump in the breast, Small motile masses, Pain in both breasts during menstruation, Discharge from the breast, Change in breast size",I don't know,no,I don't know,no,yes,yes,once in every 6 months,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,5,7,7,6,7,no opinion,6,7,4,7,7,7,1,7,6,7,7,6,6,no,yes,no,no,,,,,,,
yes,yes,no,no,I don't know,no,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",I don't know,no,no,no,yes,no,never,yes,yes,I don't know,no,no,no,no,no,no,yes,7,7,7,7,7,7,high,4,7,1,4,7,7,1,7,7,7,7,7,5,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,I don't know,no,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",no,no,no,no,yes,yes,every month,yes,yes,no,yes,no,no,yes,no,no,yes,6,7,7,7,7,7,low,7,7,7,7,4,7,1,7,2,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,no,yes,yes,yes,I don't know,"A painless lump in the breast, Discharge from the breast, Change in breast size",yes,no,no,no,yes,yes,every month,yes,no,yes,yes,yes,no,yes,no,no,yes,7,7,7,7,7,7,high,7,7,7,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,I don't know,I don't know,I don't know,I don't know,I don't know,"Breast discharge, Change in breast size",I don't know,no,I don't know,I don't know.,yes,no,never,yes,yes,yes,I don't know,I don't know,yes,yes,no,no,yes,5,6,7,7,5,7,low,7,6,7,5,7,7,1,6,4,6,6,5,7,yes,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,I don't know,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,no,no,no,yes,yes,once in every 6 months,yes,yes,yes,I don't know,I don't know,no,yes,no,no,yes,7,7,7,7,7,7,high,7,7,4,7,7,7,1,7,7,7,7,7,7,no,yes,no,no,,,,,,,
yes,yes,no,yes,yes,yes,no,"A painless lump in the breast, Discharge from the breast, Change in breast size",no,yes,no,no,yes,no,never,yes,no,no,no,no,no,yes,no,no,yes,7,7,7,7,7,7,low,7,7,7,7,7,7,1,7,7,7,7,7,7,no,no,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,I don't know,"A painless lump in the breast, Discharge from the breast, Change in breast size",I don't know,no,I don't know,no,yes,yes,once in every 6 months,yes,no,no,no,no,no,yes,no,no,yes,7,7,7,7,7,7,high,4,7,1,7,7,7,1,5,4,7,7,,5,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,I don't know,"A painless lump in the breast, Small motile masses, Discharge from the breast",I don't know,no,no,no,yes,yes,once in every 6 months,yes,yes,yes,no,yes,no,yes,no,no,yes,6,6,7,6,7,6,high,7,7,5,7,6,6,1,7,6,7,6,7,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,yes,"A painless lump in the breast, Small motile masses, Discharge from the breast, Change in breast size",yes,no,yes,no,yes,yes,once in a year,yes,yes,yes,yes,yes,no,yes,no,no,yes,6,5,4,5,6,6,high,5,6,6,6,5,5,4,4,4,5,4,4,4,no,yes,no,no,,,,,,,
yes,yes,I don't know,I don't know,I don't know,I don't know,I don't know,"Pain in both breasts during menstruation, Discharge from the breast, Change in breast size",I don't know,I don't know,I don't know,yes,yes,no,never,yes,yes,no,no,no,no,yes,no,no,yes,7,7,7,7,7,7,high,7,7,5,7,4,7,1,7,6,7,7,7,6,no,yes,no,no,,,,,,,
yes,yes,I don't know,yes,yes,yes,no,"A painless lump in the breast, Breast discharge, Breast size change",I don't know,no,no,no,yes,yes,once in 6 months,yes,no,no,no,yes,no,yes,no,no,yes,7,7,7,5,7,7,low,7,7,7,5,7,7,1,5,7,7,6,6,7,no,yes,no,no,,,,,,,
yes,yes,yes,yes,yes,yes,no,"A painless lump in the breast, Small moving lumps, Breast discharge",no,no,no,no,yes,yes,every month,yes,yes,yes,yes,yes,no,yes,no,no,yes,7,7,7,7,7,7,never mind,7,7,7,7,7,7,1,7,7,7,7,6,7,no,yes,no,no,,,,,,,
